Scale,ScaleLabel,Status,Objective,TotalStockoutUnits,TotalOrderedUnits,TotalOrdersCount,TotalRevenue
-0.1,-10.00%,2,12621209.97624623,0.0,876826.3690446084,167,15438267.0
-0.09,-9.00%,2,12761816.753760085,0.0,886568.8842562152,167,15609803.299999997
-0.08,-8.00%,2,12902423.531273918,0.0,896311.3994678213,167,15781339.600000001
-0.07,-7.00%,2,13043030.308787765,0.0,906053.9146794291,167,15952875.899999999
-0.06,-6.00%,2,13183637.086301608,0.0,915796.4298910353,167,16124412.200000003
-0.05,-5.00%,2,13324243.86381546,0.0,925538.9451026422,167,16295948.5
-0.04,-4.00%,2,13464850.641329307,0.0,935281.460314249,167,16467484.799999997
-0.03,-3.00%,2,13605457.418843158,0.0,945023.9755258552,167,16639021.100000001
-0.02,-2.00%,2,13746064.19635701,0.0,954766.490737463,167,16810557.4
-0.01,-1.00%,2,13886670.973870847,0.0,964509.0059490692,167,16982093.700000003
0.0,+0.00%,2,14027277.7513847,0.0,974251.5211606759,167,17153630.0
0.01,+1.00%,2,14167884.528898554,0.0,983994.0363722829,167,17325166.299999997
0.02,+2.00%,2,14308491.306412399,0.0,993736.551583889,167,17496702.6
0.03,+3.00%,2,14449098.08392624,0.0,1003479.0667954967,167,17668238.9
0.04,+4.00%,2,14589704.861440089,0.0,1013221.582007103,167,17839775.200000003
0.05,+5.00%,2,14730311.638953932,0.0,1022964.0972187098,167,18011311.5
0.06,+6.00%,2,14870918.416467778,0.0,1032706.6124303166,167,18182847.799999997
0.07,+7.00%,2,15011525.193981625,0.0,1042449.1276419229,167,18354384.1
0.08,+8.00%,2,15152131.971495474,0.0,1052191.6428535301,167,18525920.4
0.09,+9.00%,2,15292738.74900932,0.0,1061934.1580651365,167,18697456.700000003
0.1,+10.00%,2,15433345.526523164,0.0,1071676.6732767436,167,18868993.0
